date,new_cases,new_deaths,location,iso_code,indo_new_cases,indo_new_deaths,tourist
2020-01-31,8.0,0.0,Malaysia,MYS,0.0,0.0,207523
2020-02-29,21.0,0.0,Malaysia,MYS,0.0,0.0,164043
2020-03-31,2737.0,48.0,Malaysia,MYS,1528.0,136.0,114453
2020-04-30,3236.0,55.0,Malaysia,MYS,8590.0,656.0,61496
2020-05-31,1817.0,12.0,Malaysia,MYS,16355.0,821.0,66414
2020-06-30,820.0,6.0,Malaysia,MYS,29912.0,1263.0,62033
2020-07-31,337.0,4.0,Malaysia,MYS,51991.0,2255.0,58052
2020-08-31,364.0,2.0,Malaysia,MYS,66420.0,2286.0,57864
2020-09-30,1884.0,9.0,Malaysia,MYS,112212.0,3323.0,53370
2020-10-31,20324.0,127.0,Malaysia,MYS,123080.0,3129.0,45332
2020-11-30,34149.0,97.0,Malaysia,MYS,128795.0,3076.0,43292
2020-12-31,47313.0,111.0,Malaysia,MYS,204315.0,5193.0,46246
2021-01-31,101949.0,289.0,Malaysia,MYS,335116.0,7860.0,44001
2021-02-28,85793.0,375.0,Malaysia,MYS,256320.0,6168.0,34425
2021-03-31,44748.0,137.0,Malaysia,MYS,177078.0,4692.0,37095
2021-04-30,63213.0,234.0,Malaysia,MYS,156656.0,4663.0,35871
2021-05-31,163644.0,1290.0,Malaysia,MYS,153335.0,5057.0,45322
2021-06-30,179622.0,2374.0,Malaysia,MYS,356569.0,7913.0,34345
2021-07-31,361293.0,3854.0,Malaysia,MYS,1231386.0,35628.0,41913
2021-08-31,632982.0,7640.0,Malaysia,MYS,680143.0,38904.0,37530
2021-09-30,499441.0,9671.0,Malaysia,MYS,125303.0,8916.0,37946
2021-10-31,225947.0,2577.0,Malaysia,MYS,29254.0,1466.0,44113
2021-11-30,161140.0,1513.0,Malaysia,MYS,12051.0,425.0,39434
2021-12-31,125304.0,1062.0,Malaysia,MYS,6311.0,264.0,48728
2022-01-31,112672.0,491.0,Malaysia,MYS,90650.0,226.0,41986
2022-02-28,571978.0,771.0,Malaysia,MYS,1211078.0,4015.0,847
2022-03-31,759183.0,2234.0,Malaysia,MYS,448370.0,6754.0,1668
2020-01-31,13.0,0.0,Singapore,SGP,0.0,0.0,140569
2020-02-29,89.0,0.0,Singapore,SGP,0.0,0.0,84681
2020-03-31,824.0,3.0,Singapore,SGP,1528.0,136.0,40832
2020-04-30,15243.0,12.0,Singapore,SGP,8590.0,656.0,2074
2020-05-31,18715.0,8.0,Singapore,SGP,16355.0,821.0,1334
2020-06-30,9023.0,3.0,Singapore,SGP,29912.0,1263.0,1129
2020-07-31,8298.0,1.0,Singapore,SGP,51991.0,2255.0,1166
2020-08-31,4607.0,0.0,Singapore,SGP,66420.0,2286.0,1328
2020-09-30,953.0,0.0,Singapore,SGP,112212.0,3323.0,1397
2020-10-31,250.0,1.0,Singapore,SGP,123080.0,3129.0,1616
2020-11-30,203.0,1.0,Singapore,SGP,128795.0,3076.0,1931
2020-12-31,381.0,0.0,Singapore,SGP,204315.0,5193.0,2435
2021-01-31,937.0,0.0,Singapore,SGP,335116.0,7860.0,2107
2021-02-28,400.0,0.0,Singapore,SGP,256320.0,6168.0,1864
2021-03-31,445.0,1.0,Singapore,SGP,177078.0,4692.0,2396
2021-04-30,764.0,0.0,Singapore,SGP,156656.0,4663.0,2541
2021-05-31,906.0,3.0,Singapore,SGP,153335.0,5057.0,2293
2021-06-30,528.0,3.0,Singapore,SGP,356569.0,7913.0,1049
2021-07-31,2402.0,1.0,Singapore,SGP,1231386.0,35628.0,980
2021-08-31,2639.0,18.0,Singapore,SGP,680143.0,38904.0,946
2021-09-30,28901.0,40.0,Singapore,SGP,125303.0,8916.0,729
2021-10-31,101853.0,312.0,Singapore,SGP,29254.0,1466.0,1142
2021-11-30,66351.0,311.0,Singapore,SGP,12051.0,425.0,1462
2021-12-31,14680.0,110.0,Singapore,SGP,6311.0,264.0,1195
2022-01-31,73406.0,27.0,Singapore,SGP,90650.0,226.0,1462
2022-02-28,371613.0,164.0,Singapore,SGP,1211078.0,4015.0,530
2022-03-31,372004.0,249.0,Singapore,SGP,448370.0,6754.0,2538
2020-01-31,9236.0,196.0,China,CHN,0.0,0.0,183685
2020-02-29,69468.0,2622.0,China,CHN,0.0,0.0,11586
2020-03-31,3814.0,470.0,China,CHN,1528.0,136.0,4985
2020-04-30,2681.0,38.0,China,CHN,8590.0,656.0,1748
2020-05-31,642.0,1.0,China,CHN,16355.0,821.0,1965
2020-06-30,693.0,0.0,China,CHN,29912.0,1263.0,2079
2020-07-31,1122.0,0.0,China,CHN,51991.0,2255.0,2681
2020-08-31,1272.0,0.0,China,CHN,66420.0,2286.0,3635
2020-09-30,949.0,0.0,China,CHN,112212.0,3323.0,6934
2020-10-31,1381.0,0.0,China,CHN,123080.0,3129.0,6863
2020-11-30,1101.0,0.0,China,CHN,128795.0,3076.0,6481
2020-12-31,794.0,0.0,China,CHN,204315.0,5193.0,7126
2021-01-31,3649.0,2.0,China,CHN,335116.0,7860.0,1353
2021-02-28,616.0,0.0,China,CHN,256320.0,6168.0,2703
2021-03-31,650.0,0.0,China,CHN,177078.0,4692.0,8272
2021-04-30,873.0,0.0,China,CHN,156656.0,4663.0,9639
2021-05-31,927.0,0.0,China,CHN,153335.0,5057.0,4961
2021-06-30,1206.0,0.0,China,CHN,356569.0,7913.0,6421
2021-07-31,1698.0,3.0,China,CHN,1231386.0,35628.0,2941
2021-08-31,2477.0,0.0,China,CHN,680143.0,38904.0,897
2021-09-30,1663.0,0.0,China,CHN,125303.0,8916.0,2119
2021-10-31,1535.0,0.0,China,CHN,29254.0,1466.0,6005
2021-11-30,2152.0,0.0,China,CHN,12051.0,425.0,4889
2021-12-31,4043.0,0.0,China,CHN,6311.0,264.0,4513
2022-01-31,4901.0,0.0,China,CHN,90650.0,226.0,3396
2022-02-28,4675.0,0.0,China,CHN,1211078.0,4015.0,2976
2022-03-31,103254.0,2.0,China,CHN,448370.0,6754.0,4831
2020-01-31,1.0,0.0,India,IND,0.0,0.0,51794
2020-02-29,2.0,0.0,India,IND,0.0,0.0,41685
2020-03-31,1394.0,36.0,India,IND,1528.0,136.0,12383
2020-04-30,33466.0,1119.0,India,IND,8590.0,656.0,629
2020-05-31,155746.0,4254.0,India,IND,16355.0,821.0,689
2020-06-30,394872.0,11992.0,India,IND,29912.0,1263.0,506
2020-07-31,1110507.0,19111.0,India,IND,51991.0,2255.0,443
2020-08-31,1995178.0,28777.0,India,IND,66420.0,2286.0,365
2020-09-30,2621418.0,33390.0,India,IND,112212.0,3323.0,435
2020-10-31,1871498.0,23433.0,India,IND,123080.0,3129.0,537
2020-11-30,1278727.0,15510.0,India,IND,128795.0,3076.0,986
2020-12-31,823900.0,11373.0,India,IND,204315.0,5193.0,1272
2021-01-31,470901.0,5398.0,India,IND,335116.0,7860.0,349
2021-02-28,354631.0,2765.0,India,IND,256320.0,6168.0,558
2021-03-31,1109424.0,5770.0,India,IND,177078.0,4692.0,539
2021-04-30,6943304.0,48926.0,India,IND,156656.0,4663.0,826
2021-05-31,9010075.0,120042.0,India,IND,153335.0,5057.0,244
2021-06-30,2236590.0,60190.0,India,IND,356569.0,7913.0,211
2021-07-31,1244190.0,24892.0,India,IND,1231386.0,35628.0,176
2021-08-31,1155021.0,14669.0,India,IND,680143.0,38904.0,165
2021-09-30,955862.0,9319.0,India,IND,125303.0,8916.0,184
2021-10-31,519107.0,10098.0,India,IND,29254.0,1466.0,949
2021-11-30,310962.0,10810.0,India,IND,12051.0,425.0,1301
2021-12-31,264803.0,12239.0,India,IND,6311.0,264.0,1168
2022-01-31,6607920.0,14756.0,India,IND,90650.0,226.0,1133
2022-02-28,1461546.0,17781.0,India,IND,1211078.0,4015.0,740
2022-03-31,94730.0,7158.0,India,IND,448370.0,6754.0,1327
2020-01-31,9.0,0.0,Australia,AUS,0.0,0.0,119242
2020-02-29,16.0,0.0,Australia,AUS,0.0,0.0,91037
2020-03-31,4534.0,18.0,Australia,AUS,1528.0,136.0,43734
2020-04-30,2207.0,75.0,Australia,AUS,8590.0,656.0,140
2020-05-31,436.0,10.0,Australia,AUS,16355.0,821.0,102
2020-06-30,718.0,2.0,Australia,AUS,29912.0,1263.0,138
2020-07-31,9360.0,97.0,Australia,AUS,51991.0,2255.0,202
2020-08-31,8539.0,456.0,Australia,AUS,66420.0,2286.0,159
2020-09-30,1277.0,231.0,Australia,AUS,112212.0,3323.0,244
2020-10-31,499.0,19.0,Australia,AUS,123080.0,3129.0,379
2020-11-30,317.0,1.0,Australia,AUS,128795.0,3076.0,377
2020-12-31,513.0,1.0,Australia,AUS,204315.0,5193.0,537
2021-01-31,393.0,0.0,Australia,AUS,335116.0,7860.0,154
2021-02-28,160.0,0.0,Australia,AUS,256320.0,6168.0,220
2021-03-31,344.0,0.0,Australia,AUS,177078.0,4692.0,204
2021-04-30,489.0,1.0,Australia,AUS,156656.0,4663.0,300
2021-05-31,307.0,0.0,Australia,AUS,153335.0,5057.0,284
2021-06-30,525.0,0.0,Australia,AUS,356569.0,7913.0,302
2021-07-31,3740.0,15.0,Australia,AUS,1231386.0,35628.0,181
2021-08-31,20710.0,89.0,Australia,AUS,680143.0,38904.0,71
2021-09-30,52088.0,299.0,Australia,AUS,125303.0,8916.0,190
2021-10-31,64849.0,432.0,Australia,AUS,29254.0,1466.0,261
2021-11-30,39625.0,268.0,Australia,AUS,12051.0,425.0,456
2021-12-31,213841.0,242.0,Australia,AUS,6311.0,264.0,573
2022-01-31,2181746.0,1582.0,Australia,AUS,90650.0,226.0,512
2022-02-28,657205.0,1375.0,Australia,AUS,1211078.0,4015.0,547
2022-03-31,1338049.0,798.0,Australia,AUS,448370.0,6754.0,2813
